Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F3,3.329387903213501,0.0,73091.4948904462,44237.98675787507,42393.867410679195,37257.890167012505,35651.89264064261,35651.89264064261,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,33808.08802768196,29386.905002810956,26514.774650499774,23204.741929465403,21895.65207511568,19430.51801664374,18702.34050481521,16150.00350148845,14623.769229550762,14458.056359444052,13811.046320823236,13520.02726990647,13345.501718155956,12885.303522650327,12745.681151403734,12652.255733181144,12581.29296697881,12547.626452635826,12526.913911104286,12508.085038279076,12495.097407819363,12488.485418361444,12482.977083440173,12480.43214352702,12478.447941934888,12477.74676690933,12477.231243363165,12476.988976968098,12476.815964399077,12476.757619842587,12476.687439798658,12476.655495508468,12476.639239130354
SSA,F3,3.3121836185455322,0.0,50556.81883965723,15889.46644109132,13649.79043900152,8761.296143113494,7952.2451399752135,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,7101.603556997528,5184.00524000808,4997.09145087296,3830.6031492169127,3813.864024383656,3365.784936235615,3228.491784918391,3154.7391978678384,3086.257664408415,3027.8899688768934,2993.1921609069445,2931.9644714318147,2913.9578188596524,2898.1417816668063,2887.36147272426,2881.8170302192684,2879.313177115223,2876.6994173646094,2875.55271443785,2874.6339913472734,2874.064456610146,2873.7532627741807,2873.606036342489,2873.5166993571797,2873.466265687767,2873.444044515439,2873.4293915803796,2873.415537973188,2873.411847355556
SSA,F3,2.866593599319458,0.0,51818.38338942607,23517.671906373,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,17185.78672793889,16845.427393847785,16845.427393847785,16845.427393847785,16622.005712926773,14875.851408208295,12596.769282988822,10850.971668462607,9751.090470769963,8575.059756032253,7857.675682252083,7563.751305947157,7211.831556991377,6914.004433436693,6824.998260812041,6743.53861865288,6690.7895637300435,6632.223974752782,6603.466602515847,6587.306515956001,6580.616349674111,6573.745017571786,6569.757409261828,6568.151407691839,6566.368660989226,6565.597488904908,6565.315240529416,6565.139616763733,6565.001120842331,6564.8785912665735,6564.821492439214,6564.799934073244,6564.788157858335
SSA,F4,2.3833553791046143,0.0,55.066234319598266,38.05594802004377,37.77636305672111,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,33.95849372120958,30.45650779376777,30.45650779376777,30.45650779376777,29.252539408083898,29.252539408083898,29.252539408083898,28.90236666405389,27.820309830134878,27.42373520140571,26.680824089440396,26.3606003462935,26.099428217438675,25.92236834300278,25.646176214875172,25.588814991301547,25.486854067934253,25.445044605043346,25.41636018432106,25.3853660943251,25.37389802868047,25.364564027819302,25.359657387115416,25.35615289309222,25.354227515829727,25.353203960113063,25.353001910076067,25.35262229481487,25.352382347890696,25.35232165128009,25.352252911645632,25.352221479948543
SSA,F4,2.4298434257507324,0.0,56.30304274606684,51.2084307392085,40.714040972832876,37.694001396912114,34.935237908500966,31.724834723906607,28.531285386088555,28.531285386088555,28.44399837953927,27.646734694848334,26.67628104326019,25.89736412089684,25.122308349169497,24.852541951291496,24.852541951291496,24.852541951291496,24.852541951291496,24.852541951291496,24.852541951291496,24.852541951291496,21.168678024583862,21.168678024583862,20.739548590006766,19.61823054110281,18.148342772189825,17.94708488624446,16.893605452872777,16.893605452872777,16.87083914581665,16.4266804918117,16.317034425052796,16.117546518126122,16.064598693781527,15.98252102001615,15.93007738105,15.888885412000219,15.861628800095717,15.850144671363068,15.84664146821992,15.839888238843898,15.83700972806487,15.835161966832567,15.834049075972015,15.833353255243601,15.833133494058137,15.832980371708041,15.832856553620507,15.832826072157804,15.832794658328925
SSA,F4,2.5728399753570557,0.0,52.41611520559787,45.22615232494002,38.484268201085804,35.18453360514253,30.49923183127156,29.210588951279433,28.45991516058204,27.918153255122863,27.597064927819787,26.75966709660301,25.96117198705736,25.22468594891982,24.96248387386443,24.715036556145748,24.427290189401873,24.11463891160635,23.78782269012242,23.78782269012242,23.78782269012242,23.603449308963135,22.552684798983105,22.552684798983105,22.552684798983105,21.383485744828644,19.810278053992796,19.120091008274677,19.120091008274677,18.32839035378201,17.9633983334418,17.63428964350303,17.470859835279004,17.268695262282474,17.195270305984952,17.100818869140312,17.069984160363106,17.051148129232473,17.032022631461732,17.029929051310916,17.021838486185757,17.019292580824573,17.017701338368262,17.016231236122845,17.015446751997423,17.014773327295053,17.01451341012792,17.01443095347741,17.014302922610277,17.01426489933808,17.014233010667102
PSO,F3,2.379124879837036,128126.4156893266,128126.4156893266,118078.70185784224,114108.32135887638,106815.72402396164,68125.97439528126,55486.08778859691,40713.69596763579,37488.015397286385,37488.015397286385,35018.72879472051,35018.72879472051,35018.72879472051,29644.413574081158,20428.237560942234,20428.237560942234,16176.982562821366,14521.5411652753,12285.733470484538,10764.02766691136,9700.795548349011,9126.453663417866,8410.750183864115,8410.750183864115,7750.689107370086,7331.359171410776,6676.300437161802,6478.8287664608615,6417.811980651794,6254.8701777290435,6065.588126666308,5166.432012660971,5140.816889541453,5036.309727941566,4830.198132638591,4635.481971781178,4635.481971781178,4635.481971781178,4635.481971781178,4598.024865825395,4464.453464873713,4360.595644440097,4162.580520673666,3918.420260908135,3769.6072938530533,3695.476148610432,3618.7867832010347,3563.4437428031365,3387.112471286376,3387.112471286376
PSO,F3,2.19600772857666,227338.85075430243,222229.56356612494,155436.2380748604,128182.82311551098,128182.82311551098,117565.48716280752,104719.18309219493,97492.32375437477,84232.98056051532,67956.06910535101,59329.57737062009,55091.399196700986,53233.45258567131,52495.2161529696,30236.083650434273,22624.48264290053,22624.48264290053,17379.050429217674,17379.050429217674,17379.050429217674,17379.050429217674,16685.179881228556,15244.665704454737,13824.248381425808,12577.37310431728,11760.658944224637,11760.658944224637,10859.049212798185,9941.270777045182,9547.281136544356,9235.668048035608,8702.375630612432,8103.643313286602,7962.770116589592,7427.341647155213,7225.825656879519,7191.4366402399555,7040.386514851044,6823.714928928534,6559.218575362705,6287.815750856093,6155.901080073558,5952.933423532576,5905.774593287194,5811.058786967702,5736.131549177916,5596.164997329427,5525.852822640281,5425.276539874201,5295.86214494609
PSO,F3,2.313955783843994,166844.7499044583,166844.7499044583,162913.63298540452,137344.72373765698,116459.8136467491,67781.90501172752,50625.036883341694,50625.036883341694,50625.036883341694,50625.036883341694,50625.036883341694,50625.036883341694,41471.946230578345,40151.85674617957,36877.613947161946,30634.23478617843,27179.396308014162,22938.87123265632,21969.50849464579,17102.28374412322,16606.559248062556,15056.109296296896,15056.109296296896,13857.221439036517,11385.757959428045,10318.623358069271,9352.922274025554,9178.449880396021,8562.12715304712,8499.977852476564,8008.441349977447,7889.5292538057365,7363.33940081336,7027.48690498995,6877.322761415384,6637.857625602761,6430.31961781714,6225.576650364976,5878.901508377796,5497.869748053549,5426.751630135912,4983.432328451334,4887.406648080373,4818.81961011877,4704.302367250788,4378.456665709003,4196.5081785280045,4115.290586479421,4063.350977642883,4021.7677632715004
PSO,F4,1.839890718460083,85.1689905721519,84.69651697055059,78.80880059019346,73.55571785150387,68.40771785150388,62.58944942126237,57.984983389689305,54.025999578402065,49.21399957840207,43.48185083223511,39.30285988504099,34.742859885040986,30.918406399182608,25.551144851070255,24.261547988526672,21.60457990805564,20.237440278929217,18.30297428335189,17.325884819725694,17.325884819725694,16.83429224401201,14.500165711490268,13.46203684052833,12.965542864474644,12.428191251974585,11.363849005060292,11.363849005060292,11.363849005060292,10.820763345796896,10.478498393663227,10.21135156158816,9.335642308480226,9.335642308480226,9.289599026986005,9.289599026986005,9.289599026986005,9.289599026986005,9.158416694920948,8.890069287514924,8.890069287514924,8.890069287514924,8.77089943329005,8.366801918671753,8.208492047623345,8.208492047623345,8.053187218850189,8.053187218850189,8.017156464257559,7.853848157593709,7.776755451237567
PSO,F4,1.8989453315734863,87.80500652948396,85.63702476247757,80.06218983894165,74.95780473418831,69.80500652948396,66.01668228759755,60.52819915560636,55.68119911832008,49.903109192369456,44.86919911832008,43.20461923861638,38.24890255989517,35.79077149783538,31.505001382011528,26.618484489232046,23.841936761609375,21.95776095531771,19.18382820056758,17.67213294504104,14.501506430534407,14.501506430534407,14.019146736471583,13.259235297482558,13.259235297482558,13.259235297482558,13.259235297482558,13.172423347682786,12.272037523105562,12.183313346838691,12.183313346838691,12.183313346838691,11.54933468656924,11.218485637060184,11.218485637060184,11.218485637060184,11.054955476586821,11.054955476586821,10.901376387551078,10.722357080160712,10.722357080160712,10.722357080160712,10.512333745578331,10.042026296130476,9.722872596541373,9.722872596541373,9.55516520552892,9.255785673560943,9.195323920900469,8.803086207672095,8.803086207672095
PSO,F4,2.653208017349243,89.59550589781352,85.92503365168632,81.71559251074292,76.42437054044419,70.48359251074292,64.66308686753064,59.419592510742916,53.832260708794976,48.55007016552088,42.696720481409784,36.75656024526103,32.258142981312766,26.572079920061455,22.438185931144226,18.791665022164224,17.04500164936693,16.054347916441408,16.054347916441408,14.049389368074237,14.049389368074237,13.222122881035887,12.738518208994057,12.130083089941943,12.130083089941943,11.967733717334587,11.967733717334587,11.740973882497599,11.462513661466332,11.462513661466332,11.15481977559715,10.712417020261782,10.39231961481515,10.287688069148022,10.062396623006206,9.816600758357646,9.816600758357646,9.816600758357646,9.429268152716267,9.400449853625133,9.186264488896553,8.976724405320862,8.534815062540703,8.417514280383342,8.068146829219991,7.896678089238312,7.65079213165139,7.60678486050618,7.299762084999308,7.268042283846673,6.869317230853761
GWO,F3,2.68902587890625,161963.89595836823,128346.78137017625,88240.03022310961,72453.22242975999,72453.22242975999,72453.22242975999,52618.90791186273,41816.26878681715,41816.26878681715,32285.95027635619,32285.95027635619,29437.55756374115,22996.040067061404,19772.51791995666,19772.51791995666,17083.578199718264,12725.376092958151,12725.376092958151,8374.711604174234,8374.711604174234,8374.711604174234,8374.711604174234,8374.711604174234,8257.338467072874,7162.918599530357,5396.2222548285,4995.140261015933,4600.624767787065,4600.624767787065,4600.624767787065,3508.3822117187538,3425.0419267539505,3229.9721330308876,2723.682498751786,2723.682498751786,2723.682498751786,2517.759863823256,2164.822450616292,2018.67833042086,2018.67833042086,1993.7854450097382,1893.4381915013594,1851.3404067049214,1832.390995941654,1771.4734370698116,1663.5715724253864,1651.6291701125385,1600.9569649397629,1574.4781203847585,1549.839036288665
GWO,F3,2.381652355194092,127677.5448653764,89134.27611517414,89134.27611517414,44748.683513107135,44748.683513107135,44748.683513107135,44748.683513107135,44748.683513107135,41192.59940907408,41192.59940907408,39363.85181443575,30889.369945174283,30889.369945174283,26642.56935713637,18248.716075570806,16342.345362919345,12244.980266825347,12244.980266825347,11337.696424858445,10531.146214044225,9782.169873824649,8592.177466477018,8592.177466477018,6482.741991176391,6482.741991176391,5486.492427456253,5381.7865664859355,5107.723986785895,4342.569739163212,4326.972896215073,4213.072683829645,3965.9179887361024,3673.083647504204,3652.6002788879073,3607.470334250976,3219.6676842824154,2917.9574055028993,2815.2641347308913,2770.2635279385754,2540.9754085783798,2414.3400092047114,2414.3400092047114,2238.0829276493164,2238.0829276493164,2238.0656812033394,2174.8234384704774,2096.0721386269506,2040.0937924631241,2000.8495446140444,1982.1215074629738
